Date,Close
2015-07-01,126.599998
2015-07-02,126.440002
2015-07-06,126.0
2015-07-07,125.690002
2015-07-08,122.57
2015-07-09,120.07
2015-07-10,123.279999
2015-07-13,125.660004
2015-07-14,125.610001
2015-07-15,126.82
2015-07-16,128.509995
2015-07-17,129.619995
2015-07-20,132.070007
2015-07-21,130.75
2015-07-22,125.220001
2015-07-23,125.160004
2015-07-24,124.5
2015-07-27,122.769997
2015-07-28,123.379997
2015-07-29,122.989998
2015-07-30,122.370003
2015-07-31,121.300003
2015-08-03,118.440002
2015-08-04,114.639999
2015-08-05,115.400002
2015-08-06,115.129997
2015-08-07,115.519997
2015-08-10,119.720001
2015-08-11,113.489998
2015-08-12,115.239998
2015-08-13,115.150002
2015-08-14,115.959999
2015-08-17,117.160004
2015-08-18,116.5
2015-08-19,115.010002
2015-08-20,112.650002
2015-08-21,105.760002
2015-08-24,103.120003
2015-08-25,103.739998
2015-08-26,109.690002
2015-08-27,112.91999799999999
2015-08-28,113.290001
2015-08-31,112.760002
2015-09-01,107.720001
2015-09-02,112.339996
2015-09-03,110.370003
2015-09-04,109.269997
2015-09-08,112.309998
2015-09-09,110.150002
2015-09-10,112.57
2015-09-11,114.209999
2015-09-14,115.309998
2015-09-15,116.279999
2015-09-16,116.410004
2015-09-17,113.91999799999999
2015-09-18,113.449997
2015-09-21,115.209999
2015-09-22,113.400002
2015-09-23,114.32
2015-09-24,115.0
2015-09-25,114.709999
2015-09-28,112.440002
2015-09-29,109.059998
2015-09-30,110.300003
2015-10-01,109.58000200000001
2015-10-02,110.379997
2015-10-05,110.779999
2015-10-06,111.309998
2015-10-07,110.779999
2015-10-08,109.5
2015-10-09,112.120003
2015-10-12,111.599998
2015-10-13,111.790001
2015-10-14,110.209999
2015-10-15,111.860001
2015-10-16,111.040001
2015-10-19,111.730003
2015-10-20,113.769997
2015-10-21,113.760002
2015-10-22,115.5
2015-10-23,119.08000200000001
2015-10-26,115.279999
2015-10-27,114.550003
2015-10-28,119.269997
2015-10-29,120.529999
2015-10-30,119.5
2015-11-02,121.18
2015-11-03,122.57
2015-11-04,122.0
2015-11-05,120.91999799999999
2015-11-06,121.059998
2015-11-09,120.57
2015-11-10,116.769997
2015-11-11,116.110001
2015-11-12,115.720001
2015-11-13,112.339996
2015-11-16,114.18
2015-11-17,113.690002
2015-11-18,117.290001
2015-11-19,118.779999
2015-11-20,119.300003
2015-11-23,117.75
2015-11-24,118.879997
2015-11-25,118.029999
2015-11-27,117.809998
2015-11-30,118.300003
2015-12-01,117.339996
2015-12-02,116.279999
2015-12-03,115.199997
2015-12-04,119.029999
2015-12-07,118.279999
2015-12-08,118.230003
2015-12-09,115.620003
2015-12-10,116.16999799999999
2015-12-11,113.18
2015-12-14,112.480003
2015-12-15,110.489998
2015-12-16,111.339996
2015-12-17,108.980003
2015-12-18,106.029999
2015-12-21,107.33000200000001
2015-12-22,107.230003
2015-12-23,108.610001
2015-12-24,108.029999
2015-12-28,106.82
2015-12-29,108.739998
